League Code,League Name,Country,Team ID,Team Name (Raw),Canonical Name,Created At
E3,League Two,England,165,Port Vale,port vale,2025-12-29T06:55:08.554440+03:00
E3,League Two,England,166,Rochdale,rochdale,2025-12-29T06:55:08.560482+03:00
E3,League Two,England,167,Salford,salford,2025-12-29T06:55:08.565453+03:00
E3,League Two,England,168,Scunthorpe,scunthorpe,2025-12-29T06:55:08.572266+03:00
E3,League Two,England,169,Shrewsbury,shrewsbury,2025-12-29T06:55:08.577851+03:00
E3,League Two,England,170,Southend,southend,2025-12-29T06:55:08.583302+03:00
E3,League Two,England,171,Stevenage,stevenage,2025-12-29T06:55:08.592796+03:00
E3,League Two,England,172,Stockport,stockport,2025-12-29T06:55:08.598698+03:00
E3,League Two,England,173,Sutton,sutton,2025-12-29T06:55:08.603956+03:00
E3,League Two,England,174,Swindon,swindon,2025-12-29T06:55:08.609059+03:00
E3,League Two,England,175,Tranmere,tranmere,2025-12-29T06:55:08.614441+03:00
E3,League Two,England,176,Walsall,walsall,2025-12-29T06:55:08.620267+03:00
E3,League Two,England,177,Wrexham,wrexham,2025-12-29T06:55:08.625899+03:00
F1,Ligue 1,France,379,Ajaccio,ajaccio,2025-12-29T06:55:09.549823+03:00
F1,Ligue 1,France,380,Amiens,amiens,2025-12-29T06:55:09.554511+03:00
F1,Ligue 1,France,381,Angers,angers,2025-12-29T06:55:09.559256+03:00
F1,Ligue 1,France,382,Auxerre,auxerre,2025-12-29T06:55:09.562492+03:00
F1,Ligue 1,France,383,Bordeaux,bordeaux,2025-12-29T06:55:09.566106+03:00
F1,Ligue 1,France,384,Brest,brest,2025-12-29T06:55:09.569240+03:00
F1,Ligue 1,France,385,Clermont,clermont,2025-12-29T06:55:09.572490+03:00
F1,Ligue 1,France,386,Dijon,dijon,2025-12-29T06:55:09.576461+03:00
F1,Ligue 1,France,387,Le Havre,le havre,2025-12-29T06:55:09.579652+03:00
F1,Ligue 1,France,388,Lens,lens,2025-12-29T06:55:09.583596+03:00
F1,Ligue 1,France,389,Lille,lille,2025-12-29T06:55:09.586908+03:00
F1,Ligue 1,France,390,Lorient,lorient,2025-12-29T06:55:09.590690+03:00
F1,Ligue 1,France,391,Lyon,lyon,2025-12-29T06:55:09.594473+03:00
F1,Ligue 1,France,392,Marseille,marseille,2025-12-29T06:55:09.597957+03:00
F1,Ligue 1,France,393,Metz,metz,2025-12-29T06:55:09.601846+03:00
F1,Ligue 1,France,394,Monaco,monaco,2025-12-29T06:55:09.605823+03:00
F1,Ligue 1,France,395,Montpellier,montpellier,2025-12-29T06:55:09.611008+03:00
F1,Ligue 1,France,396,Nantes,nantes,2025-12-29T06:55:09.615327+03:00
F1,Ligue 1,France,397,Nice,nice,2025-12-29T06:55:09.619243+03:00
F1,Ligue 1,France,398,Nimes,nimes,2025-12-29T06:55:09.626999+03:00
F1,Ligue 1,France,399,Paris FC,paris,2025-12-29T06:55:09.631365+03:00
F1,Ligue 1,France,400,Reims,reims,2025-12-29T06:55:09.636237+03:00
F1,Ligue 1,France,401,Rennes,rennes,2025-12-29T06:55:09.642905+03:00
F1,Ligue 1,France,402,St Etienne,st etienne,2025-12-29T06:55:09.647714+03:00
F1,Ligue 1,France,403,Strasbourg,strasbourg,2025-12-29T06:55:09.652281+03:00
F1,Ligue 1,France,404,Toulouse,toulouse,2025-12-29T06:55:09.656439+03:00
F1,Ligue 1,France,405,Troyes,troyes,2025-12-29T06:55:09.660854+03:00
F2,Ligue 2,France,406,Ajaccio,ajaccio,2025-12-29T06:55:09.665233+03:00
F2,Ligue 2,France,407,Amiens,amiens,2025-12-29T06:55:09.669801+03:00
F2,Ligue 2,France,408,Angers,angers,2025-12-29T06:55:09.673399+03:00
