Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2018-03-02,CHN1,Shanghai Shenhua,Tianjin Teda,1,0,H,1819,45,9593,9641,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Guizhou Hengfeng,4,0,H,1819,45,9634,9646,4,4,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Hebei China Fortune,0,0,D,1819,45,9600,9636,0,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Shanghai Port FC,1,1,D,1819,45,9601,9605,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Changchun Yatai,1,2,A,1819,45,9640,9594,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Guangzhou City,2,1,H,1819,45,9645,9622,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Beijing Renhe FC,0,0,D,1819,45,9639,9644,0,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Jiāngsū Sūníng,2,0,H,1819,45,9605,9639,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Guizhou Hengfeng,2,1,H,1819,45,9600,9646,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Shanghai Shenhua,2,1,H,1819,45,9645,9593,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Guangzhou Evergrande,2,0,H,1819,45,9644,9634,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Chongqing Lifan,2,1,H,1819,45,9636,9640,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Henan Jianye,1,1,D,1819,45,9622,9638,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Beijing Guoan,0,2,A,1819,45,9594,9596,2,-2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Shandong Taishan,1,2,A,1819,45,9641,9601,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Dalian Yingbo,1,0,H,1819,45,9639,9600,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Beijing Renhe FC,1,0,H,1819,45,9638,9644,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Hebei China Fortune,2,2,D,1819,45,9634,9636,4,0,2018.0,3.0,4.0,0,0
