Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,season,league_id,home_team_id,away_team_id,prob_home_market,prob_draw_market,prob_away_market,TotalGoals,GoalDifference,Overround,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
2022-09-11,I1,Juventus,Salernitana,2,2,D,1.41,4.73,8.11,2223,4,319,328,0.6793678174151284,0.2025176791871735,0.118114503397698,4,0,0.0439409109110902,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-12,I1,Empoli,Roma,1,2,A,4.7,3.93,1.73,2223,4,314,327,0.2035543952408467,0.2434365541048295,0.5530090506543237,3,-1,0.0452535657363848,2022.0,9.0,0.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-16,I1,Salernitana,Lecce,1,2,A,2.25,3.33,3.37,2223,4,328,321,0.4267428727882542,0.2883397789109826,0.2849173483007632,3,-1,0.041480649789255,2022.0,9.0,4.0,0,0,0,0,0,medium,0,0,0,medium,medium
2022-09-17,I1,Spezia,Sampdoria,2,1,H,2.69,3.24,2.74,2223,4,332,329,0.355618936219646,0.2952515242070517,0.3491295395733021,3,1,0.0453526908541879,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-17,I1,Bologna,Empoli,0,1,A,2.13,3.52,3.42,2223,4,308,314,0.4488490190376054,0.2716046620880964,0.2795463188742981,1,-1,0.0459721379847399,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2022-09-17,I1,Torino,Sassuolo,0,1,A,1.83,3.77,4.3,2223,4,333,330,0.5232882814542708,0.2540099615547256,0.2227017569910035,1,-1,0.0442582163564981,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-18,I1,Milan,Napoli,1,2,A,2.14,3.5,3.44,2223,4,322,324,0.4477234526766722,0.2737509110651653,0.2785256362581624,3,-1,0.0437016797590585,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2022-09-18,I1,Udinese,Inter,3,1,H,3.83,3.8,1.92,2223,4,334,318,0.249832212466956,0.2518045720390636,0.4983632154939802,4,2,0.0450878338143008,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-18,I1,Cremonese,Lazio,0,4,A,4.22,3.9,1.81,2223,4,312,320,0.2265753389482333,0.2451661359901397,0.528258525061627,4,-4,0.0458632689001101,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-18,I1,Fiorentina,Verona,2,0,H,1.78,3.85,4.48,2223,4,315,336,0.5377329666972197,0.2486142027846885,0.2136528305180917,2,2,0.0447522982635342,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-18,I1,Monza,Juventus,1,0,H,4.41,3.63,1.84,2223,4,323,319,0.2168437661313101,0.2634382943909304,0.5197179394777596,1,1,0.0457177241479893,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-18,I1,Roma,Atalanta,0,1,A,2.07,3.57,3.55,2223,4,327,306,0.4623357009182143,0.2680770030534183,0.2695872960283672,1,-1,0.0448939731026112,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2022-10-01,I1,Empoli,Milan,1,3,A,5.47,4.13,1.61,2223,4,314,322,0.1747649623755818,0.2314683642117271,0.5937666734126912,4,-2,0.0460641195176321,2022.0,10.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-10-01,I1,Napoli,Torino,3,1,H,1.6,4.13,5.57,2223,4,324,333,0.5971352997214731,0.2313357093351953,0.1715289909433315,4,2,0.0466639642498512,2022.0,10.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
